Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-05 04-AM,BTCUSD,9815.37,9867.14,9800.01,9826.44,227.93,2241250.03
2018-05-05 03-AM,BTCUSD,9822.28,9836.98,9785.6,9815.37,219.36,2152676.9
2018-05-05 02-AM,BTCUSD,9793.1,9868.43,9780.65,9822.28,616.49,6058115.75
2018-05-05 01-AM,BTCUSD,9747.39,9796.31,9705.69,9793.1,492.23,4802596.91
2018-05-05 12-AM,BTCUSD,9696.57,9775.99,9670.68,9747.39,188.36,1832259.22
2018-05-04 11-PM,BTCUSD,9732.97,9743.27,9688.88,9696.57,126.51,1227577.93
2018-05-04 10-PM,BTCUSD,9710.9,9750,9667.04,9732.97,348.15,3381056.68
2018-05-04 09-PM,BTCUSD,9671,9728.23,9660.37,9710.9,184.94,1792840.3
2018-05-04 08-PM,BTCUSD,9644.82,9700.3,9628.56,9671,191.19,1847174.09
2018-05-04 07-PM,BTCUSD,9636.95,9651.13,9609.11,9644.82,102.81,990640.38
2018-05-04 06-PM,BTCUSD,9639.24,9654.33,9607.16,9636.95,69.24,666993.44
2018-05-04 05-PM,BTCUSD,9647.73,9689.2,9624.38,9639.24,222.64,2151861.87
2018-05-04 04-PM,BTCUSD,9600,9647.73,9562.6,9647.73,207.47,1993956.98
2018-05-04 03-PM,BTCUSD,9680.96,9691.4,9565.85,9600,396.31,3809549.36
2018-05-04 02-PM,BTCUSD,9647.75,9699,9614.38,9680.96,187.98,1815233.69
2018-05-04 01-PM,BTCUSD,9670,9710.1,9622,9647.75,257.32,2487159.92
2018-05-04 12-PM,BTCUSD,9721.72,9760.12,9660.16,9670,233.8,2274002.79
2018-05-04 11-AM,BTCUSD,9685.83,9737.29,9635,9721.72,246.71,2388288.66
2018-05-04 10-AM,BTCUSD,9713.52,9717,9655.97,9685.83,284.88,2760825.51
2018-05-04 09-AM,BTCUSD,9758.8,9772.79,9610.47,9713.52,393.99,3817158.37
2018-05-04 08-AM,BTCUSD,9665,9784.73,9652.21,9758.8,729.77,7108716.95
2018-05-04 07-AM,BTCUSD,9668.38,9695,9628.59,9665,332.79,3216182.03
2018-05-04 06-AM,BTCUSD,9617.09,9686.47,9590,9668.38,158.29,1525870.39
2018-05-04 05-AM,BTCUSD,9627.66,9632.05,9587.44,9617.09,142.09,1366286.35
2018-05-04 04-AM,BTCUSD,9565.73,9634.5,9565.73,9627.66,361.25,3472159.99
2018-05-04 03-AM,BTCUSD,9614.79,9625.26,9535,9565.73,294.98,2826224.44
